Satzart,Gebietsstand,Regionalschlüssel,Gemeinde,Leer,Unnamed: 5
40.0,20221231.0,9271,Deggendorf,Deggendorf,
40.0,20221231.0,9272,Freyung-Grafenau,Freyung,
40.0,20221231.0,9273,Kelheim,Kelheim,
40.0,20221231.0,9274,"Landshut, Kreis",Landshut,1.0
40.0,20221231.0,9275,"Passau, Kreis",Passau,1.0
40.0,20221231.0,9276,Regen,Regen,
40.0,20221231.0,9277,Rottal-Inn,Pfarrkirchen,
40.0,20221231.0,9278,Straubing-Bogen,Straubing,
40.0,20221231.0,9279,Dingolfing-Landau,Dingolfing,
40.0,20221231.0,9361,Amberg,Amberg,
40.0,20221231.0,9362,"Regensburg, Stadt",Regensburg,
40.0,20221231.0,9363,Weiden i.d.OPf.,Weiden i.d.OPf.,1.0
40.0,20221231.0,9371,Amberg-Sulzbach,Amberg,
40.0,20221231.0,9372,Cham,Cham,
40.0,20221231.0,9373,Neumarkt i.d.OPf.,Neumarkt i.d.OPf.,
40.0,20221231.0,9374,Neustadt a.d.Waldnaab,Neustadt a.d.Waldnaab,
40.0,20221231.0,9375,"Regensburg, Kreis",Regensburg,1.0
40.0,20221231.0,9376,Schwandorf,Schwandorf,
40.0,20221231.0,9377,Tirschenreuth,Tirschenreuth,
40.0,20221231.0,9461,"Bamberg, Stadt",Bamberg,1.0
40.0,20221231.0,9462,"Bayreuth, Stadt",Bayreuth,1.0
40.0,20221231.0,9463,"Coburg, Stadt",Coburg,1.0
40.0,20221231.0,9464,"Hof, Stadt",Hof,1.0
40.0,20221231.0,9471,"Bamberg, Kreis",Bamberg,1.0
40.0,20221231.0,9472,"Bayreuth, Kreis",Bayreuth,1.0
40.0,20221231.0,9473,"Coburg, Kreis",Coburg,1.0
40.0,20221231.0,9474,Forchheim,Forchheim,
40.0,20221231.0,9475,"Hof, Kreis",Hof,1.0
40.0,20221231.0,9476,Kronach,Kronach,
40.0,20221231.0,9477,Kulmbach,Kulmbach,
40.0,20221231.0,9478,Lichtenfels,Lichtenfels,
40.0,20221231.0,9479,Wunsiedel i.Fichtelgebirge,Wunsiedel,
40.0,20221231.0,9561,"Ansbach, Stadt",Ansbach,1.0
40.0,20221231.0,9562,Erlangen,Erlangen,
40.0,20221231.0,9563,"Fürth, Stadt",Fürth,1.0
40.0,20221231.0,9564,Nürnberg,Nürnberg,
40.0,20221231.0,9565,Schwabach,Schwabach,
40.0,20221231.0,9571,"Ansbach, Kreis",Ansbach,1.0
40.0,20221231.0,9572,Erlangen-Höchstadt,Erlangen,
40.0,20221231.0,9573,"Fürth, Kreis",Zirndorf,1.0
40.0,20221231.0,9574,Nürnberger Land,Lauf a.d.Pegnitz,
40.0,20221231.0,9575,Neustadt a.d.Aisch-Bad Windsheim,Neustadt a.d.Aisch,
40.0,20221231.0,9576,Roth,Roth,
40.0,20221231.0,9577,Weißenburg-Gunzenhausen,Weißenburg i.Bay.,
40.0,20221231.0,9661,"Aschaffenburg, Stadt",Aschaffenburg,1.0
40.0,20221231.0,9662,"Schweinfurt, Stadt",Schweinfurt,1.0
40.0,20221231.0,9663,"Würzburg, Stadt",Würzburg,1.0
40.0,20221231.0,9671,"Aschaffenburg, Kreis",Aschaffenburg,1.0
40.0,20221231.0,9672,Bad Kissingen,Bad Kissingen,
40.0,20221231.0,9673,Rhön-Grabfeld,Bad Neustadt a.d.Saale,
40.0,20221231.0,9674,Haßberge,Haßfurt,
40.0,20221231.0,9675,Kitzingen,Kitzingen,
40.0,20221231.0,9676,Miltenberg,Miltenberg,
40.0,20221231.0,9677,Main-Spessart,Karlstadt,
40.0,20221231.0,9678,"Schweinfurt, Kreis",Schweinfurt,1.0
40.0,20221231.0,9679,"Würzburg, Kreis",Würzburg,1.0
40.0,20221231.0,9761,"Augsburg, Stadt",Augsburg,1.0
40.0,20221231.0,9762,Kaufbeuren,Kaufbeuren,
40.0,20221231.0,9763,Kempten (Allgäu),Kempten (Allgäu),
40.0,20221231.0,9764,Memmingen,Memmingen,
40.0,20221231.0,9771,Aichach-Friedberg,Aichach,
40.0,20221231.0,9772,"Augsburg, Kreis",Augsburg,1.0
40.0,20221231.0,9773,Dillingen a.d.Donau,Dillingen a.d.Donau,
40.0,20221231.0,9774,Günzburg,Günzburg,
40.0,20221231.0,9775,Neu-Ulm,Neu-Ulm,
